head,relation,tail
location_4038_4849,produces,solar_energy
location_7777_3558,produces,solar_energy
location_8473_1900,hasSolarPotential,255.0
location_163_5760,produces,solar_energy
location_3849_556,hasSolarPotential,255.0
location_11001_3023,produces,solar_energy
location_4800_358,produces,solar_energy
location_2008_7471,produces,solar_energy
location_10679_2928,hasSolarPotential,255.0
location_9926_1139,produces,solar_energy
location_10125_9331,hasSolarPotential,255.0
location_10576_6603,hasSolarPotential,224.0
location_3610_5506,hasSolarPotential,250.0
location_3730_1170,produces,solar_energy
location_13639_2810,produces,solar_energy
location_1827_5584,produces,solar_energy
location_747_8098,produces,solar_energy
location_1274_3040,produces,solar_energy
location_10809_6076,hasSolarPotential,228.0
location_673_9285,hasSolarPotential,255.0
location_1246_8881,hasSolarPotential,255.0
location_13586_6015,hasSolarPotential,255.0
location_7240_9005,produces,solar_energy
location_2988_7244,hasSolarPotential,255.0
location_2027_1440,produces,solar_energy
location_2525_3330,hasSolarPotential,255.0
location_13984_5159,produces,solar_energy
location_8650_3563,produces,solar_energy
location_7018_9080,produces,solar_energy
location_8836_2203,produces,solar_energy
location_2306_2669,hasSolarPotential,255.0
location_9966_3524,produces,solar_energy
location_7004_5464,hasSolarPotential,255.0
location_144_1651,produces,solar_energy
location_5774_6569,hasSolarPotential,236.0
location_3418_3328,produces,solar_energy
location_13389_1075,produces,solar_energy
location_13588_7318,hasSolarPotential,255.0
location_10047_5523,hasSolarPotential,255.0
location_6143_1160,hasSolarPotential,255.0
location_2860_6,hasSolarPotential,255.0
location_11317_8520,hasSolarPotential,255.0
location_663_6539,produces,solar_energy
location_11733_3323,hasSolarPotential,255.0
location_7639_7966,hasSolarPotential,235.0
location_12357_1446,produces,solar_energy
location_10336_1364,hasSolarPotential,255.0
location_10015_7816,produces,solar_energy
location_456_2471,produces,solar_energy
location_11000_7940,hasSolarPotential,210.0
location_11194_8742,hasSolarPotential,255.0
location_676_6269,hasSolarPotential,255.0
location_5529_8502,hasSolarPotential,255.0
location_12592_6062,hasSolarPotential,242.0
location_10098_6649,hasSolarPotential,255.0
location_779_7770,hasSolarPotential,255.0
location_9991_1985,hasSolarPotential,255.0
location_9428_1832,produces,solar_energy
location_8124_4558,hasSolarPotential,255.0
location_6393_3794,hasSolarPotential,255.0
location_321_5104,produces,solar_energy
location_1703_5207,hasSolarPotential,218.0
location_10901_3020,hasSolarPotential,255.0
location_7966_5912,produces,solar_energy
location_10385_5855,hasSolarPotential,255.0
location_6282_1127,hasSolarPotential,255.0
location_10369_4040,hasSolarPotential,255.0
location_11279_163,produces,solar_energy
location_9334_4060,hasSolarPotential,255.0
location_4505_3509,produces,solar_energy
location_3016_7919,hasSolarPotential,255.0
location_11906_2493,hasSolarPotential,255.0
location_13910_5964,hasSolarPotential,255.0
location_11303_1051,hasSolarPotential,255.0
location_3571_4383,hasSolarPotential,255.0
location_8260_3672,produces,solar_energy
location_3281_3819,hasSolarPotential,255.0
location_168_4573,hasSolarPotential,255.0
location_9145_5958,produces,solar_energy
location_13251_6190,produces,solar_energy
location_13422_6626,hasSolarPotential,255.0
location_12953_2176,hasSolarPotential,255.0
location_2685_435,hasSolarPotential,206.0
location_11787_6764,hasSolarPotential,227.0
location_1247_6243,produces,solar_energy
location_9847_5447,hasSolarPotential,255.0
location_4077_6109,produces,solar_energy
location_4877_340,produces,solar_energy
location_6940_2188,hasSolarPotential,255.0
location_12359_302,produces,solar_energy
location_4251_7254,produces,solar_energy
location_11186_7795,hasSolarPotential,194.0
location_277_4054,produces,solar_energy
location_12029_4098,hasSolarPotential,255.0
location_2100_9177,hasSolarPotential,255.0
location_11296_2657,hasSolarPotential,255.0
location_3139_471,hasSolarPotential,245.0
location_7117_5981,hasSolarPotential,255.0
location_8801_7752,produces,solar_energy
location_7795_8768,produces,solar_energy
location_3468_8970,hasSolarPotential,255.0
location_5919_1361,produces,solar_energy
location_13169_6408,produces,solar_energy
location_13214_380,produces,solar_energy
location_11623_948,produces,solar_energy
location_10319_3930,produces,solar_energy
location_8531_8476,hasSolarPotential,238.0
location_9739_1535,produces,solar_energy
location_2850_8832,produces,solar_energy
location_12639_4491,produces,solar_energy
location_1395_1719,hasSolarPotential,255.0
location_9548_1126,produces,solar_energy
location_2297_4997,produces,solar_energy
location_286_6771,produces,solar_energy
location_5279_6257,hasSolarPotential,250.0
location_693_7415,produces,solar_energy
location_2505_7011,hasSolarPotential,226.0
location_572_2021,produces,solar_energy
location_7117_7074,produces,solar_energy
location_10076_1277,hasSolarPotential,255.0
location_13057_4205,hasSolarPotential,255.0
location_8882_3055,produces,solar_energy
location_1312_4338,produces,solar_energy
location_715_523,hasSolarPotential,255.0
location_13625_5486,produces,solar_energy
location_13255_5627,produces,solar_energy
location_10462_6047,hasSolarPotential,255.0
location_5257_3477,hasSolarPotential,255.0
location_2901_6811,hasSolarPotential,255.0
location_9369_8221,produces,solar_energy
location_1044_6128,hasSolarPotential,212.0
location_112_5086,hasSolarPotential,255.0
location_4250_2998,produces,solar_energy
location_8359_6705,hasSolarPotential,255.0
location_13391_850,produces,solar_energy
location_13412_448,hasSolarPotential,255.0
location_1668_4769,hasSolarPotential,216.0
location_9137_9174,hasSolarPotential,255.0
location_10479_3796,produces,solar_energy
location_4241_1477,hasSolarPotential,255.0
location_4034_6734,produces,solar_energy
location_7267_4172,produces,solar_energy
location_8588_2205,produces,solar_energy
location_405_57,produces,solar_energy
location_531_9313,hasSolarPotential,255.0
location_8994_4196,hasSolarPotential,255.0
location_11473_4181,hasSolarPotential,255.0
location_7338_7202,produces,solar_energy
location_6521_216,hasSolarPotential,255.0
location_10919_8849,produces,solar_energy
location_2216_6995,hasSolarPotential,216.0
location_10331_1284,hasSolarPotential,255.0
location_9247_810,produces,solar_energy
location_10438_1630,hasSolarPotential,255.0
location_1538_1236,hasSolarPotential,255.0
location_3883_7899,produces,solar_energy
location_7849_5494,produces,solar_energy
location_9356_39,produces,solar_energy
location_2078_3247,hasSolarPotential,255.0
location_4876_573,hasSolarPotential,255.0
location_3756_3124,hasSolarPotential,255.0
location_5894_3924,hasSolarPotential,255.0
location_9037_1225,produces,solar_energy
location_8037_1793,produces,solar_energy
location_12187_7464,produces,solar_energy
location_8628_9410,produces,solar_energy
location_9159_8212,hasSolarPotential,248.0
location_9741_1320,hasSolarPotential,255.0
location_2622_634,produces,solar_energy
location_11050_1322,produces,solar_energy
location_7306_6985,hasSolarPotential,255.0
location_13005_5955,hasSolarPotential,255.0
location_3935_5835,hasSolarPotential,252.0
location_9272_107,hasSolarPotential,255.0
location_8843_5696,produces,solar_energy
location_12036_2414,produces,solar_energy
location_7701_1191,produces,solar_energy
location_12084_3161,produces,solar_energy
location_209_8816,hasSolarPotential,255.0
location_9124_4979,hasSolarPotential,255.0
location_7511_6668,produces,solar_energy
location_3369_1819,hasSolarPotential,245.0
location_6256_1558,hasSolarPotential,255.0
location_7564_2031,produces,solar_energy
location_9164_5164,hasSolarPotential,255.0
location_4442_1958,produces,solar_energy
location_6514_8300,produces,solar_energy
location_314_234,produces,solar_energy
location_7244_5059,produces,solar_energy
location_10608_7422,produces,solar_energy
location_5504_5446,produces,solar_energy
location_8793_5144,hasSolarPotential,255.0
location_7019_5155,hasSolarPotential,255.0
location_3740_3527,hasSolarPotential,255.0
location_11319_836,hasSolarPotential,255.0
location_2861_6435,hasSolarPotential,250.0
location_11015_3013,hasSolarPotential,255.0
location_12807_3105,hasSolarPotential,255.0
location_7589_6669,hasSolarPotential,255.0
location_3354_5354,produces,solar_energy
location_12210_8873,produces,solar_energy
location_1306_6150,produces,solar_energy
location_9300_3244,hasSolarPotential,255.0
location_8337_5972,hasSolarPotential,255.0
location_1703_5207,produces,solar_energy
location_9315_2776,produces,solar_energy
location_770_4125,produces,solar_energy
location_10285_136,hasSolarPotential,255.0
location_6840_451,hasSolarPotential,255.0
location_5069_6144,hasSolarPotential,251.0
location_3138_7714,hasSolarPotential,255.0
location_2613_5614,produces,solar_energy
location_7607_5311,hasSolarPotential,255.0
location_5069_2974,hasSolarPotential,255.0
location_1846_6713,hasSolarPotential,215.0
location_9897_4182,hasSolarPotential,255.0
location_3641_1726,produces,solar_energy
location_7780_5838,hasSolarPotential,255.0
location_1589_3515,produces,solar_energy
location_202_6519,produces,solar_energy
location_8846_3622,hasSolarPotential,255.0
location_11693_6466,hasSolarPotential,242.0
location_7591_4983,hasSolarPotential,255.0
location_10275_3517,produces,solar_energy
location_12772_6393,hasSolarPotential,255.0
location_12578_9107,produces,solar_energy
location_10824_7919,produces,solar_energy
location_4759_6073,hasSolarPotential,255.0
location_8422_2567,hasSolarPotential,255.0
location_5390_941,hasSolarPotential,255.0
location_3316_5362,hasSolarPotential,247.0
location_5261_2960,hasSolarPotential,255.0
location_4835_5779,produces,solar_energy
location_47_6090,hasSolarPotential,255.0
location_4324_8382,produces,solar_energy
location_8677_782,hasSolarPotential,255.0
location_12705_809,produces,solar_energy
location_532_5038,produces,solar_energy
location_3974_1194,produces,solar_energy
location_10026_8308,hasSolarPotential,206.0
location_6612_7013,hasSolarPotential,222.0
location_2924_8551,hasSolarPotential,255.0
location_11473_4181,produces,solar_energy
location_4261_7820,produces,solar_energy
location_4388_3901,hasSolarPotential,255.0
location_2839_8527,hasSolarPotential,255.0
location_2162_7608,produces,solar_energy
location_11146_7910,produces,solar_energy
location_8702_6587,hasSolarPotential,255.0
location_4229_9041,hasSolarPotential,255.0
location_7818_1238,hasSolarPotential,255.0
location_10512_9145,produces,solar_energy
location_5153_1666,hasSolarPotential,255.0
location_4566_2748,hasSolarPotential,255.0
location_565_1332,hasSolarPotential,255.0
location_11946_3021,hasSolarPotential,255.0
location_448_4516,produces,solar_energy
location_5199_6032,produces,solar_energy
location_13340_8101,hasSolarPotential,255.0
location_2996_6155,hasSolarPotential,215.0
location_9816_8408,hasSolarPotential,245.0
location_7591_4983,produces,solar_energy
location_6709_7048,hasSolarPotential,238.0
location_11322_2763,hasSolarPotential,255.0
location_12455_8110,hasSolarPotential,255.0
location_11053_3225,produces,solar_energy
location_9481_6823,produces,solar_energy
location_6473_4100,produces,solar_energy
location_12100_7123,hasSolarPotential,255.0
location_13404_6754,hasSolarPotential,255.0
location_4622_5674,produces,solar_energy
location_4404_9,produces,solar_energy
location_11998_1133,hasSolarPotential,255.0
location_3355_7944,produces,solar_energy
location_10638_6144,produces,solar_energy
location_12002_7721,hasSolarPotential,255.0
location_6527_9156,hasSolarPotential,255.0
location_7329_2099,hasSolarPotential,255.0
location_13357_4763,produces,solar_energy
location_433_193,hasSolarPotential,255.0
location_12895_9009,produces,solar_energy
location_1446_7164,hasSolarPotential,255.0
location_10070_397,produces,solar_energy
location_10081_8661,produces,solar_energy
location_9071_7813,produces,solar_energy
location_5435_6139,hasSolarPotential,207.0
location_6435_5380,produces,solar_energy
location_9699_1764,hasSolarPotential,255.0
location_5939_6197,hasSolarPotential,255.0
location_3109_7417,hasSolarPotential,255.0
location_13433_3214,produces,solar_energy
location_2519_6718,hasSolarPotential,215.0
location_1938_2501,hasSolarPotential,255.0
location_1047_7813,produces,solar_energy
location_8247_202,produces,solar_energy
location_7580_5593,produces,solar_energy
location_4365_1183,produces,solar_energy
location_8198_5021,hasSolarPotential,255.0
location_10293_221,produces,solar_energy
location_2676_6337,hasSolarPotential,215.0
location_11197_3600,hasSolarPotential,255.0
location_8276_2508,produces,solar_energy
location_4473_3392,produces,solar_energy
location_5239_894,produces,solar_energy
location_6200_815,hasSolarPotential,255.0
location_10207_447,produces,solar_energy
location_6413_5787,produces,solar_energy
location_384_5745,hasSolarPotential,255.0
location_5366_4922,produces,solar_energy
location_3431_5775,hasSolarPotential,242.0
location_3157_8794,produces,solar_energy
location_651_4495,produces,solar_energy
location_3739_2282,produces,solar_energy
location_10209_4872,produces,solar_energy
location_13125_8082,hasSolarPotential,255.0
location_10893_2495,hasSolarPotential,255.0
location_13938_24,hasSolarPotential,255.0
location_5175_3704,produces,solar_energy
location_748_9175,hasSolarPotential,255.0
location_12280_3303,produces,solar_energy
location_10037_5603,produces,solar_energy
location_842_4442,hasSolarPotential,255.0
location_13694_2464,produces,solar_energy
location_6497_5322,hasSolarPotential,255.0
location_8397_5716,produces,solar_energy
location_6884_7684,produces,solar_energy
location_4622_8871,produces,solar_energy
location_9373_1497,hasSolarPotential,255.0
location_3642_4235,hasSolarPotential,255.0
location_73_2197,produces,solar_energy
location_2519_6718,produces,solar_energy
location_13085_7995,hasSolarPotential,255.0
location_9396_1847,hasSolarPotential,255.0
location_9933_2127,hasSolarPotential,255.0
location_7186_3150,produces,solar_energy
location_3770_2402,produces,solar_energy
location_11988_694,produces,solar_energy
location_7036_7415,hasSolarPotential,253.0
location_13964_7083,hasSolarPotential,255.0
location_1775_2170,produces,solar_energy
location_12318_6185,hasSolarPotential,242.0
location_4304_2164,produces,solar_energy
location_706_5830,hasSolarPotential,255.0
location_2810_5704,produces,solar_energy
location_5295_6111,hasSolarPotential,224.0
location_11446_2267,produces,solar_energy
location_6694_7366,hasSolarPotential,241.0
location_7338_7202,hasSolarPotential,240.0
location_1615_8778,produces,solar_energy
location_6153_1129,hasSolarPotential,255.0
location_10092_6720,produces,solar_energy
location_10785_3615,hasSolarPotential,255.0
location_424_3359,produces,solar_energy
location_12750_2379,produces,solar_energy
location_779_4465,produces,solar_energy
location_13784_96,hasSolarPotential,255.0
location_13410_8025,hasSolarPotential,255.0
location_13368_5700,hasSolarPotential,255.0
location_5398_5563,produces,solar_energy
location_7706_2054,hasSolarPotential,255.0
location_8378_5304,hasSolarPotential,255.0
location_11744_6442,produces,solar_energy
location_13417_3270,hasSolarPotential,255.0
location_13000_8605,produces,solar_energy
location_13467_3919,produces,solar_energy
location_8793_5144,produces,solar_energy
location_9149_661,produces,solar_energy
location_3559_7063,hasSolarPotential,255.0
location_11381_7455,produces,solar_energy
location_3998_635,hasSolarPotential,255.0
location_13931_7647,hasSolarPotential,255.0
location_6549_4674,hasSolarPotential,255.0
location_5021_1034,produces,solar_energy
location_143_116,produces,solar_energy
location_6252_5325,hasSolarPotential,255.0
location_7819_8577,hasSolarPotential,255.0
location_2625_8508,produces,solar_energy
location_4017_2586,hasSolarPotential,255.0
location_925_8541,produces,solar_energy
location_4932_7438,produces,solar_energy
location_2646_6917,produces,solar_energy
location_1921_2972,produces,solar_energy
location_1002_7859,hasSolarPotential,255.0
location_4362_7596,hasSolarPotential,255.0
location_10523_6655,produces,solar_energy
location_7762_6914,hasSolarPotential,255.0
location_9631_7451,hasSolarPotential,227.0
location_8068_1416,hasSolarPotential,255.0
location_13703_3840,produces,solar_energy
location_12948_7398,produces,solar_energy
location_10062_7816,hasSolarPotential,227.0
location_4327_3013,produces,solar_energy
location_9118_5425,produces,solar_energy
location_5619_2214,hasSolarPotential,255.0
location_214_8108,hasSolarPotential,255.0
location_8332_8147,hasSolarPotential,249.0
location_6223_8768,produces,solar_energy
location_12350_4057,hasSolarPotential,255.0
location_9225_7581,hasSolarPotential,223.0
location_12598_4754,hasSolarPotential,255.0
location_11357_6778,hasSolarPotential,242.0
location_12921_7894,hasSolarPotential,255.0
location_6080_8142,hasSolarPotential,255.0
location_9039_4847,produces,solar_energy
location_3008_4940,produces,solar_energy
location_12029_463,hasSolarPotential,255.0
location_2479_986,hasSolarPotential,206.0
location_12061_8571,produces,solar_energy
location_8486_1540,hasSolarPotential,255.0
location_2722_3364,hasSolarPotential,255.0
location_3566_8842,hasSolarPotential,255.0
location_10459_4241,produces,solar_energy
location_13902_334,hasSolarPotential,255.0
location_1641_2936,produces,solar_energy
location_9280_2630,hasSolarPotential,255.0
location_11710_7829,hasSolarPotential,255.0
location_12694_1597,produces,solar_energy
location_11920_9335,hasSolarPotential,255.0
location_8781_2847,hasSolarPotential,255.0
location_9775_4342,hasSolarPotential,255.0
location_9202_884,produces,solar_energy
location_11382_1978,hasSolarPotential,255.0
location_14038_4562,produces,solar_energy
location_4155_5572,produces,solar_energy
location_5988_447,hasSolarPotential,255.0
location_11667_4478,produces,solar_energy
location_5398_5563,hasSolarPotential,255.0
location_8999_6186,produces,solar_energy
location_10986_6677,hasSolarPotential,228.0
location_1649_2352,produces,solar_energy
location_9672_6879,hasSolarPotential,255.0
location_5279_6257,produces,solar_energy
location_6771_5309,produces,solar_energy
location_1587_2751,produces,solar_energy
location_9004_2597,hasSolarPotential,255.0
location_3583_5235,hasSolarPotential,194.0
location_7392_5511,produces,solar_energy
location_3209_1478,produces,solar_energy
location_6399_8763,produces,solar_energy
location_6020_8301,produces,solar_energy
location_9696_541,produces,solar_energy
location_6666_2455,hasSolarPotential,255.0
location_619_9420,hasSolarPotential,255.0
location_5420_2900,hasSolarPotential,255.0
location_5598_3906,hasSolarPotential,255.0
location_13433_8506,produces,solar_energy
location_5216_2772,produces,solar_energy
location_647_5808,hasSolarPotential,255.0
location_1565_1120,hasSolarPotential,255.0
location_11719_740,hasSolarPotential,255.0
location_8274_1805,hasSolarPotential,255.0
location_6187_7727,produces,solar_energy
location_11099_8713,hasSolarPotential,255.0
location_8878_6737,hasSolarPotential,255.0
location_6969_3829,hasSolarPotential,255.0
location_10773_1917,hasSolarPotential,255.0
location_6485_8927,hasSolarPotential,255.0
location_4726_7011,produces,solar_energy
location_6249_8653,produces,solar_energy
location_1233_5564,hasSolarPotential,186.0
location_2191_1215,hasSolarPotential,206.0
location_13261_8239,produces,solar_energy
location_3481_6854,hasSolarPotential,255.0
location_3914_887,hasSolarPotential,255.0
location_7418_1228,produces,solar_energy
location_13314_7289,hasSolarPotential,255.0
location_4702_1057,produces,solar_energy
location_12636_7572,hasSolarPotential,255.0
location_8107_3042,produces,solar_energy
location_4704_7321,hasSolarPotential,255.0
location_4761_7927,produces,solar_energy
location_5320_1679,produces,solar_energy
location_10625_2746,hasSolarPotential,255.0
location_5634_5894,hasSolarPotential,255.0
location_3724_8809,hasSolarPotential,255.0
location_11364_7747,produces,solar_energy
location_3619_6072,hasSolarPotential,255.0
location_13711_7205,produces,solar_energy
location_4511_1299,hasSolarPotential,255.0
location_5757_4574,hasSolarPotential,255.0
location_8686_6788,produces,solar_energy
location_820_7223,produces,solar_energy
location_2153_7160,hasSolarPotential,190.0
location_12636_7572,produces,solar_energy
location_3630_2391,produces,solar_energy
location_4239_6702,produces,solar_energy
location_12077_4802,produces,solar_energy
location_2834_7543,produces,solar_energy
location_408_129,produces,solar_energy
location_8653_5013,produces,solar_energy
location_11304_6982,produces,solar_energy
location_14025_7702,produces,solar_energy
location_9376_5688,hasSolarPotential,255.0
location_11613_6639,hasSolarPotential,227.0
location_8706_2138,hasSolarPotential,255.0
location_11125_3807,hasSolarPotential,255.0
location_4049_8671,hasSolarPotential,255.0
location_10207_3487,produces,solar_energy
location_8131_6243,hasSolarPotential,255.0
location_11049_2951,hasSolarPotential,255.0
location_710_3397,produces,solar_energy
location_2293_7509,produces,solar_energy
location_9006_3996,hasSolarPotential,255.0
location_12998_6614,hasSolarPotential,255.0
location_3167_3619,produces,solar_energy
location_6210_9378,produces,solar_energy
location_1873_8894,hasSolarPotential,255.0
location_10553_7156,hasSolarPotential,238.0
location_8065_1393,hasSolarPotential,255.0
location_747_8098,hasSolarPotential,255.0
location_4834_6090,produces,solar_energy
location_5175_3704,hasSolarPotential,255.0
location_1051_1144,hasSolarPotential,255.0
location_12981_9205,produces,solar_energy
location_9741_1320,produces,solar_energy
location_10872_6965,hasSolarPotential,231.0
location_12035_8859,hasSolarPotential,255.0
location_10021_8481,produces,solar_energy
location_12477_8924,hasSolarPotential,255.0
location_9651_8807,hasSolarPotential,239.0
location_4373_5339,produces,solar_energy
location_1952_5866,produces,solar_energy
location_9919_6852,produces,solar_energy
location_3810_6736,produces,solar_energy
location_5469_9045,hasSolarPotential,255.0
location_3896_2337,produces,solar_energy
location_5341_5918,hasSolarPotential,206.0
location_4158_5947,hasSolarPotential,255.0
location_6951_5989,produces,solar_energy
location_12195_3180,produces,solar_energy
location_6349_5761,hasSolarPotential,255.0
location_1088_4604,hasSolarPotential,193.0
location_2540_1553,produces,solar_energy
location_11931_4267,produces,solar_energy
location_11009_5251,hasSolarPotential,255.0
location_10782_5640,produces,solar_energy
location_8330_1551,hasSolarPotential,255.0
location_3750_6852,hasSolarPotential,255.0
location_8096_1053,hasSolarPotential,255.0
location_11293_5030,produces,solar_energy
location_12134_5610,produces,solar_energy
location_7386_9421,hasSolarPotential,255.0
location_9877_7693,produces,solar_energy
location_4441_2456,produces,solar_energy
location_4503_224,hasSolarPotential,255.0
location_11680_6133,hasSolarPotential,242.0
location_7015_1282,produces,solar_energy
location_8369_5706,hasSolarPotential,255.0
location_13995_3076,hasSolarPotential,255.0
location_9600_2710,produces,solar_energy
location_8217_8046,hasSolarPotential,248.0
location_11990_6674,hasSolarPotential,255.0
location_2823_1721,hasSolarPotential,245.0
location_8781_9095,produces,solar_energy
location_6305_6485,hasSolarPotential,252.0
location_11345_436,hasSolarPotential,101.0
location_813_8305,hasSolarPotential,255.0
location_13624_0,hasSolarPotential,255.0
location_12381_3593,produces,solar_energy
location_7804_8541,hasSolarPotential,255.0
location_9669_5987,hasSolarPotential,255.0
location_9609_6751,produces,solar_energy
location_11569_8733,hasSolarPotential,255.0
location_3963_1515,produces,solar_energy
location_10447_1380,produces,solar_energy
location_10381_2244,hasSolarPotential,255.0
location_13044_7700,produces,solar_energy
location_7519_8581,hasSolarPotential,255.0
location_6370_5801,hasSolarPotential,255.0
location_4474_1833,hasSolarPotential,255.0
location_4970_2901,hasSolarPotential,255.0
location_4212_9175,hasSolarPotential,255.0
location_345_2765,hasSolarPotential,255.0
location_8454_6830,produces,solar_energy
location_5467_5337,produces,solar_energy
location_1872_7123,produces,solar_energy
location_1390_3371,produces,solar_energy
location_2702_163,produces,solar_energy
location_11805_9016,hasSolarPotential,255.0
location_6196_3220,produces,solar_energy
location_10327_437,hasSolarPotential,255.0
location_12569_5122,hasSolarPotential,64.0
location_9128_2917,hasSolarPotential,255.0
location_10609_638,produces,solar_energy
location_1618_6373,hasSolarPotential,177.0
location_13138_2084,produces,solar_energy
location_970_2797,produces,solar_energy
location_9189_4120,hasSolarPotential,255.0
location_8281_692,hasSolarPotential,255.0
location_5331_957,produces,solar_energy
location_5965_3178,hasSolarPotential,255.0
location_8988_7663,hasSolarPotential,230.0
location_8539_5406,produces,solar_energy
location_2909_8008,hasSolarPotential,255.0
location_7740_5492,hasSolarPotential,255.0
location_3472_8152,hasSolarPotential,255.0
location_13670_1197,hasSolarPotential,255.0
location_3919_3351,produces,solar_energy
location_8093_4719,produces,solar_energy
location_6370_3171,produces,solar_energy
location_4761_2236,hasSolarPotential,255.0
location_10701_5761,hasSolarPotential,255.0
location_888_4560,hasSolarPotential,255.0
location_10071_3274,produces,solar_energy
location_221_5169,produces,solar_energy
location_1669_6808,hasSolarPotential,255.0
location_6393_181,hasSolarPotential,255.0
location_10062_2401,hasSolarPotential,255.0
location_5088_2961,hasSolarPotential,255.0
location_3975_1702,produces,solar_energy
location_6001_4917,hasSolarPotential,255.0
location_13616_570,hasSolarPotential,255.0
location_7864_4766,hasSolarPotential,255.0
location_12280_144,hasSolarPotential,255.0
location_9901_7791,produces,solar_energy
location_6034_9211,hasSolarPotential,255.0
location_12626_4153,hasSolarPotential,255.0
location_12163_7772,hasSolarPotential,255.0
location_3428_3586,hasSolarPotential,255.0
location_14113_6579,hasSolarPotential,255.0
location_12375_9352,produces,solar_energy
location_345_2765,produces,solar_energy
location_12480_6154,produces,solar_energy
location_6677_7893,produces,solar_energy
location_13660_7146,hasSolarPotential,255.0
location_12007_1552,produces,solar_energy
location_4592_5452,produces,solar_energy
location_14061_7887,hasSolarPotential,255.0
location_849_7272,produces,solar_energy
location_460_1245,hasSolarPotential,255.0
location_539_2402,hasSolarPotential,255.0
location_12216_536,produces,solar_energy
location_4261_2923,produces,solar_energy
location_9531_3440,produces,solar_energy
location_1572_4747,produces,solar_energy
location_7836_218,produces,solar_energy
location_7287_3362,hasSolarPotential,255.0
location_10278_2725,produces,solar_energy
location_13482_1957,hasSolarPotential,255.0
location_3377_7491,hasSolarPotential,255.0
location_1910_1244,produces,solar_energy
location_5704_6452,hasSolarPotential,241.0
